"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"1" "C0595921" "manuel_jdz3" NA NA NA 151 NA
"2" "C0028754" "manuel_jdz3" NA NA NA 0 NA
"3" "C0242992" "manuel_jdz3" NA NA NA 0 NA
"4" "C0016053" "manuel_jdz3" NA NA NA 0 NA
"5" "C0022104" "manuel_jdz3" NA NA NA 0 NA
"6" "C0010068" "manuel_jdz3" NA NA NA 77 NA
"7" "C0010046" "manuel_jdz3" NA NA NA 0 NA
"8" "C0242350" "manuel_jdz3" NA NA NA 0 NA
"9" "C0033038" "manuel_jdz3" NA NA NA 0 NA
"10" "C0281856" "manuel_jdz3" NA NA NA 0 NA
"11" "C0027796" "manuel_jdz3" NA NA NA 0 NA
"12" "C0022602" "manuel_jdz3" NA NA NA 0 NA
"13" "C0917801" "manuel_jdz3" NA NA NA 0 NA
"14" "C0080194" "manuel_jdz3" NA NA NA 0 NA
"15" "C0333186" "manuel_jdz3" NA NA NA 77 NA
"16" "C0497406" "manuel_jdz3" NA NA NA 0 NA
"17" "C0014236" "manuel_jdz3" NA NA NA 0 NA
"18" "C1096106" "manuel_jdz3" NA NA NA 0 NA
"19" "C0019080" "manuel_jdz3" NA NA NA 0 NA
"20" "C2607914" "manuel_jdz3" NA NA NA 0 NA
"21" "C0020542" "manuel_jdz3" NA NA NA 0 NA
"22" "C2004491" "manuel_jdz3" NA NA NA 0 NA
"23" "C0815107" "manuel_jdz3" NA NA NA 111 NA
"24" "C0239833" "manuel_jdz3" NA NA NA 0 NA
"25" "C0031117" "manuel_jdz3" NA NA NA 0 NA
"26" "C0020443" "manuel_jdz3" NA NA NA 0 NA
"27" "C0524620" "manuel_jdz3" NA NA NA 0 NA
"28" "C0021655" "manuel_jdz3" NA NA NA 118 NA
"29" "C0029453" "manuel_jdz3" NA NA NA 0 NA
"30" "C0741282" "manuel_jdz3" NA NA NA 81 NA
"31" "C0042025" "manuel_jdz3" NA NA NA 0 NA
"32" "C1270972" "manuel_jdz3" NA NA NA 0 NA
"33" "C1392786" "manuel_jdz3" NA NA NA 0 NA
"34" "C0271650" "manuel_jdz3" NA NA NA 118 NA
"35" "C0242339" "manuel_jdz3" NA NA NA 0 NA
"36" "C0035455" "manuel_jdz3" NA NA NA 0 NA
"37" "C0037011" "manuel_jdz3" NA NA NA 0 NA
"38" "C0342895" "manuel_jdz3" NA NA NA 0 NA
"39" "C0005741" "manuel_jdz3" NA NA NA 0 NA
"40" "C0020615" "manuel_jdz3" NA NA NA 0 NA
"41" "C1384600" "manuel_jdz3" NA NA NA 0 NA
"42" "C0013595" "manuel_jdz3" NA NA NA 139 NA
"43" "C0442874" "manuel_jdz3" NA NA NA 0 NA
"44" "C0162836" "manuel_jdz3" NA NA NA 0 NA
"45" "C0239313" "manuel_jdz3" NA NA NA 0 NA
"46" "C0022951" "manuel_jdz3" NA NA NA 0 NA
"47" "C0029456" "manuel_jdz3" NA NA NA 0 NA
"48" "C0206655" "manuel_jdz3" NA NA NA 69 NA
"49" "C0206655" "manuel_jdz3" NA NA NA 70 NA
"50" "C0206655" "manuel_jdz3" NA NA NA 54 NA
"51" "C0206655" "manuel_jdz3" NA NA NA 61 NA
"52" "C0206655" "manuel_jdz3" NA NA NA 55 NA
"53" "C0206655" "manuel_jdz3" NA NA NA 58 NA
"54" "C0206655" "manuel_jdz3" NA NA NA 49 NA
"55" "C0206655" "manuel_jdz3" NA NA NA 62 NA
"56" "C0206655" "manuel_jdz3" NA NA NA 72 NA
"57" "C0206655" "manuel_jdz3" NA NA NA 68 NA
"58" "C0206655" "manuel_jdz3" NA NA NA 52 NA
"59" "C0206655" "manuel_jdz3" NA NA NA 75 NA
"60" "C0206655" "manuel_jdz3" NA NA NA 51 NA
"61" "C0206655" "manuel_jdz3" NA NA NA 64 NA
"62" "C0206655" "manuel_jdz3" NA NA NA 59 NA
"63" "C0206655" "manuel_jdz3" NA NA NA 74 NA
"64" "C0206655" "manuel_jdz3" NA NA NA 60 NA
"65" "C0206655" "manuel_jdz3" NA NA NA 73 NA
"66" "C0206655" "manuel_jdz3" NA NA NA 65 NA
"67" "C0206655" "manuel_jdz3" NA NA NA 66 NA
"68" "C0206655" "manuel_jdz3" NA NA NA 63 NA
"69" "C0206655" "manuel_jdz3" NA NA NA 57 NA
"70" "C0206655" "manuel_jdz3" NA NA NA 50 NA
"71" "C0206655" "manuel_jdz3" NA NA NA 67 NA
"72" "C0206655" "manuel_jdz3" NA NA NA 71 NA
"73" "C0206655" "manuel_jdz3" NA NA NA 53 NA
"74" "C0206655" "manuel_jdz3" NA NA NA 56 NA
"75" "C0277562" "manuel_jdz3" NA NA NA 0 NA
"76" "C0235169" "manuel_jdz3" NA NA NA 0 NA
"77" "C0011991" "manuel_jdz3" NA NA NA 0 NA
"78" "C0011882" "manuel_jdz3" NA NA NA 118 NA
"79" "C0029458" "manuel_jdz3" NA NA NA 0 NA
"80" "C1155266" "manuel_jdz3" NA NA NA 0 NA
"81" "C0520679" "manuel_jdz3" NA NA NA 0 NA
"82" "C3825414" "manuel_jdz3" NA NA NA 0 NA
"83" "C0011880" "manuel_jdz3" NA NA NA 118 NA
"84" "C0001511" "manuel_jdz3" NA NA NA 0 NA
"85" "C0314719" "manuel_jdz3" NA NA NA 0 NA
"86" "C0032463" "manuel_jdz3" NA NA NA 0 NA
"87" "C0014518" "manuel_jdz3" NA NA NA 0 NA
"88" "C0042749" "manuel_jdz3" NA NA NA 0 NA
"89" "C0040456" "manuel_jdz3" NA NA NA 0 NA
"90" "C0024141" "manuel_jdz3" NA NA NA 0 NA
"91" "C1142264" "manuel_jdz3" NA NA NA 0 NA
"92" "C0231749" "manuel_jdz3" NA NA NA 0 NA
"93" "C1275684" "manuel_jdz3" NA NA NA 0 NA
"94" "C0033139" "manuel_jdz3" NA NA NA 0 NA
"95" "C3714660" "manuel_jdz3" NA NA NA 0 NA
"96" "C0003864" "manuel_jdz3" NA NA NA 0 NA
"97" "C0162566" "manuel_jdz3" NA NA NA 0 NA
"98" "C0036992" "manuel_jdz3" NA NA NA 164 NA
"99" "C0010674" "manuel_jdz3" NA NA NA 0 NA
"100" "C0085083" "manuel_jdz3" NA NA NA 0 NA
"101" "C0857122" "manuel_jdz3" NA NA NA 0 NA
"102" "C1847835" "manuel_jdz3" NA NA NA 0 NA
"103" "C0850624" "manuel_jdz3" NA NA NA 0 NA
"104" "C0007570" "manuel_jdz3" NA NA NA 0 NA
"105" "C0011389" "manuel_jdz3" NA NA NA 156 NA
"106" "C0678356" "manuel_jdz3" NA NA NA 0 NA
"107" "C0221103" "manuel_jdz3" NA NA NA 0 NA
"108" "C0149871" "manuel_jdz3" NA NA NA 0 NA
"109" "C0017168" "manuel_jdz3" NA NA NA 0 NA
"110" "C0086439" "manuel_jdz3" NA NA NA 0 NA
"111" "C0234253" "manuel_jdz3" NA NA NA 0 NA
"112" "C0043352" "manuel_jdz3" NA NA NA 0 NA
"113" "C0041834" "manuel_jdz3" NA NA NA 0 NA
"114" "C0277564" "manuel_jdz3" NA NA NA 0 NA
"115" "C0027960" "manuel_jdz3" NA NA NA 0 NA
"116" "C3665593" "manuel_jdz3" NA NA NA 0 NA
"117" "C1456781" "manuel_jdz3" NA NA NA 0 NA
"118" "C0043194" "manuel_jdz3" NA NA NA 0 NA
"119" "C3665444" "manuel_jdz3" NA NA NA 0 NA
"120" "C0155927" "manuel_jdz3" NA NA NA 0 NA
"121" "C0042571" "manuel_jdz3" NA NA NA 0 NA
"122" "C0016204" "manuel_jdz3" NA NA NA 0 NA
"123" "C1516986" "manuel_jdz3" NA NA NA 0 NA
"124" "C0856169" "manuel_jdz3" NA NA NA 0 NA
"125" "C0278139" "manuel_jdz3" NA NA NA 0 NA
"126" "C0152020" "manuel_jdz3" NA NA NA 0 NA
"127" "C0559307" "manuel_jdz3" NA NA NA 0 NA
"128" "C0014742" "manuel_jdz3" NA NA NA 0 NA
"129" "C0940933" "manuel_jdz3" NA NA NA 0 NA
"130" "C2586211" "manuel_jdz3" NA NA NA 0 NA
"131" "C0741923" "manuel_jdz3" NA NA NA 0 NA
"132" "C0020459" "manuel_jdz3" NA NA NA 0 NA
"133" "C1397014" "manuel_jdz3" NA NA NA 0 NA
"134" "C0027947" "manuel_jdz3" NA NA NA 0 NA
"135" "C0023530" "manuel_jdz3" NA NA NA 0 NA
"136" "C0037763" "manuel_jdz3" NA NA NA 0 NA
"137" "C0240066" "manuel_jdz3" NA NA NA 39 NA
"138" "C0037315" "manuel_jdz3" NA NA NA 0 NA
"139" "C0042870" "manuel_jdz3" NA NA NA 0 NA
"140" "C0392164" "manuel_jdz3" NA NA NA 0 NA
