"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"1" "C0473565" "Localized lipoatrophy" "G/P" "C0494360" "Lipodystrophy, not elsewhere classified"
"2" "C0264665" "Fatty degeneration of heart" "A" "C0027046" "Myocardial degeneration"
"3" "C1290074" "Chronic mucositis" "G/P" "C0008354;C0013371;C0178238;C0348336;C0546822" "Cholera;Shigella Infections;Intestinal infectious disease (disorder);Other and unspecified infectious diseases;Other noninfective gastroenteritis and colitis"
"4" "C2265909" "smooth muscle hypertrophy" "G/S" "C0026848" "Myopathy"
"5" "C0033790" "Pseudobulbar Palsy" "A" "C0085084" "Motor Neuron Disease"
"6" "C0853089" "Intentional self-injury" "G/P" "C0004936" "Mental disorders"
"7" "C0406128" "Cellulitis of skin" "A" "C0007642" "Cellulitis"
"8" "C1278535" "Post infarct angina" "A" "C0002962" "Angina Pectoris"
"9" "C1512432" "High Grade Burkitt-Like Lymphoma" "G/P" "C0024305" "Lymphoma, Non-Hodgkin"
"10" "C0234544" "Todd Paralysis" "A" "C0154706" "Other specified paralytic syndromes"
"11" "C0349764" "Arteriovenous shunt thrombosis" "G/P" "C0348668" "Other and unspecified disorders of the circulatory system"
"12" "C0401104" "Strangulated femoral hernia" "A" "C0401103" "Unilateral femoral hernia with obstruction but no gangrene"
"13" "C0375482" "Acute dermatitis due to solar radiation" "A" "C0020517;C0031736;C0406695;C0406696;C0452157;C0477497" "Hypersensitivity;Polymorphous light eruption;Phototoxic drug eruption;Photoallergic drug eruption;Photocontact dermatitis [berloque dermatitis];Other specified acute skin changes due to ultraviolet radiation"
"14" "C1998435" "Typical angina" "A" "C0002962" "Angina Pectoris"
"15" "C0277560" "Infantile disease" "G/C" "C0478147" "General symptoms and signs (R50-R69)"
"16" "C1290875" "Disorder of elbow" "A" "C0022408" "Arthropathy"
"17" "C0920358" "diabetic ophthalmopathy" "G/P" "C0011849;C0015397" "Diabetes Mellitus;Disorder of eye"
"18" "C1265658" "Anterior dislocation" "G/P" "C0019554;C0037005;C0159914;C0159941;C0159956;C0159970;C0272806;C0434609;C0434691;C0434717;C0478388;C0478393;C0495903;C1135812;C2720437" "Hip Dislocation;Shoulder Dislocation;Temporomandibular joint dislocation;Dislocation of wrist;Dislocation of finger;Knee Dislocation;Dislocation of cervical vertebra;Dislocation of radial head;Dislocation of ankle;Dislocation of toe joint;Dislocation, sprain and strain of unspecified body region;Other injuries of unspecified body region;Multiple dislocations of fingers;Patellar Dislocation;Dislocation of elbow joint"
"19" "C0020575" "Hypertropia" "A" "C0038379;C0271364" "Strabismus;Manifest vertical squint"
"20" "C0340775" "Ruptured varicose veins" "G/P" "C1281489" "Varicose veins of lower extremity without ulcer AND without inflammation"
"21" "C0860131" "First degree hemorrhoids" "A" "C0019112" "Hemorrhoids"
"22" "C0241310" "Suprapubic pain" "G/P" "C0478118;C0478119" "Pain localized to other parts of lower abdomen;Other and unspecified abdominal pain"
"23" "C0037280" "Skin Diseases, Parasitic" "G/P" "C0348295;C0406047" "Unspecified parasitic disease;Local infection skin/subcut tissue NOS"
"24" "C0848454" "Uterine carcinoma" "A" "C0153567" "Uterine Cancer"
"25" "C1859148" "Chondrodysplasia, blomstrand type" "A" "C0015306;C0029422" "Hereditary Multiple Exostoses;Osteochondrodysplasias"
"26" "C0948209" "Intestinal adenocarcinoma" "G/P" "C0346627" "Intestinal Cancer"
"27" "C1285373" "Neonatal respiratory system disorder" "A" "C0701161" "Respiratory condition of newborn, unspecified"
"28" "C0677955" "Non-Hodgkin's lymphoma stage I" "G/P" "C0024305" "Lymphoma, Non-Hodgkin"
"29" "C1282521" "Pudendal nerve neuropathy" "G/P" "C0152025;C0477401" "Polyneuropathy;Other disorders of peripheral nervous system"
"30" "C0267614" "Chronic appendicitis" "A" "C0003615;C0156095" "Appendicitis;Other appendicitis"
"31" "C1336071" "non-Hodgkin's lymphoma of spleen" "G/P" "C0024305;C0153470" "Lymphoma, Non-Hodgkin;Malignant neoplasm of spleen"
"32" "C0156259" "Hypertrophy of kidney" "A" "C0029781;C0156258" "Other specified disorders of kidney and ureter;Other disorders of kidney and ureter (N25-N29)"
"33" "C1290137" "Acute disease of musculoskeletal system" "G/P" "C0263978" "Disorder of soft tissue"
"34" "C0023077" "Laryngotracheobronchitis" "A" "C0006277" "Bronchitis"
"35" "C0434437" "Joint sprain" "A" "C0478388;C0478393" "Dislocation, sprain and strain of unspecified body region;Other injuries of unspecified body region"
"36" "C0024901" "Mastocytosis, Diffuse Cutaneous" "G/P" "C0024899;C0042109;C0496955" "Mastocytosis;Urticaria;Neoplasm of uncertain or unknown behavior of skin"
"37" "C1285339" "Inflammatory disorder of musculoskeletal system" "G/P" "C0263978" "Disorder of soft tissue"
"38" "C0857345" "Late onset epilepsy" "A" "C0014544" "Epilepsy"
"39" "C1295682" "Disorder of vitamin A" "G/P" "C0162429" "Malnutrition"
"40" "C0264935" "Progressive pulmonary hypertension" "G/P" "C0034072;C0152171" "Cor pulmonale;Idiopathic pulmonary hypertension"
"41" "C0729546" "Fungal respiratory infection" "A" "C0026946" "Mycoses"
"42" "C0598398" "erythrodermia" "O" "C0011606" "Exfoliative dermatitis"
"43" "C1276118" "Episodic urticaria" "A" "C0042109;C0477491" "Urticaria;Other urticaria"
"44" "C0271547" "Overproduction of growth hormone" "A" "C0405578" "Gigantism and acromegaly"
"45" "C0343651" "Myrmecia plantar wart" "A" "C0043037" "Common wart"
"46" "C0579142" "Overdose of opiate" "G/P" "C0497007" "Poisoning by other and unspecified drugs, medicaments and biological substances"
"47" "C1290882" "Chronic nervous system disorder" "A" "C0027765" "nervous system disorder"
"48" "C0740341" "Septic thrombophlebitis" "G/P" "C1367972" "Phlebitis and thrombophlebitis"
"49" "C3273253" "Complex Karyotype" "G/P" "C0270075;C0478147" "Perinatal disorder;General symptoms and signs (R50-R69)"
"50" "C0854375" "Mucosal haemorrhage" "G/P" "C0348668" "Other and unspecified disorders of the circulatory system"
"51" "C0439035" "Wheezing symptom" "A" "C0043144" "Wheezing"
"52" "C1282968" "von Willebrand Disease, Type 2A" "A" "C0042974" "von Willebrand Disease"
"53" "C0154304" "Chronic lymphadenitis" "A" "C0494628" "Chronic lymphadenitis, except mesenteric"
"54" "C0749474" "solitary thyroid nodule" "G/P" "C0342115" "Non-toxic uninodular goiter"
"55" "C0269596" "Hemorrhagic complication of pregnancy" "G/P" "C0019065;C0080276;C0348668;C0869085" "Hemoperitoneum;Disorder of the genitourinary system;Other and unspecified disorders of the circulatory system;Hemorrhage, not elsewhere classified in ICD10CM"
"56" "C0520477" "Prostatic Adenoma" "A" "C0154009;C2937421" "Benign neoplasm of prostate;Prostatic Hyperplasia"
"57" "C0333119" "Inspissation" "O" "C0024117" "Chronic Obstructive Airway Disease"
"58" "C2732961" "Exposure to communicable disease (event)" "A" "C0496599" "Contact with and exposure to unspecified communicable disease"
"59" "C2047937" "Ill-defined disease" "A" "C0478156" "Other specified general symptoms and signs"
"60" "C0555312" "Tendon laceration" "G/P" "C0478386;C0478391;C0478393" "Open wound of unspecified body region;Injury of muscles and tendons of unspecified body region;Other injuries of unspecified body region"
"61" "C0030483" "Paraphimosis" "A" "C0495078" "Redundant prepuce, phimosis and paraphimosis"
"62" "C0431723" "Congenital obstructive defect of renal pelvis" "G/P" "C0266292;C0477731" "Congenital anomaly of the kidney;Other obstructive and reflux uropathy"
"63" "C0266172" "Atresia of small intestine" "G/P" "C1290601" "Congenital anomaly of intestinal tract"
