"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"3430" "C0000727" "ENG" "P" "L0000727" "PF" "S0584932" "Y" "A0639289" NA "" "" "ICD10" "PT" "R10.0" "Acute abdomen" 3 "N" NA NA
"3813" "C0000768" "ENG" "S" "L0795441" "PF" "S0845457" "Y" "A0903852" NA "" "" "ICD10" "PT" "Q89.9" "Congenital malformation, unspecified" 3 "N" 256 NA
"3891" "C0000770" "ENG" "P" "L0000770" "PF" "S0218356" "Y" "A0242195" NA "" "" "ICD10" "PT" "K00.2" "Abnormalities of size and form of teeth" 3 "N" NA NA
"4032" "C0000774" "ENG" "P" "L1685924" "PF" "S1897365" "Y" "A1840323" NA "" "" "ICD10" "PT" "E16.4" "Abnormal secretion of gastrin" 3 "N" NA NA
"4247" "C0000786" "ENG" "P" "L0000819" "PF" "S0218600" "N" "A0242962" NA "" "" "ICD10" "HT" "O03" "Spontaneous abortion" 3 "N" 256 NA
"4496" "C0000809" "ENG" "S" "L0018465" "PF" "S0488346" "Y" "A0556618" NA "" "" "ICD10" "PT" "N96" "Habitual aborter" 3 "N" 256 NA
"4575" "C0000814" "ENG" "P" "L0000814" "PF" "S0218595" "N" "A0242944" NA "" "" "ICD10" "PT" "O02.1" "Missed abortion" 3 "N" 256 NA
"4693" "C0000821" "ENG" "P" "L0000821" "PF" "S0218604" "N" "A0242974" NA "" "" "ICD10" "PT" "O20.0" "Threatened abortion" 3 "N" 256 NA
"4818" "C0000832" "ENG" "S" "L0663701" "PF" "S0996343" "N" "A1054658" NA "" "" "ICD10" "HT" "O45" "Premature separation of placenta [abruptio placentae]" 3 "N" NA NA
"4824" "C0000832" "ENG" "S" "L0880091" "PF" "S0996345" "Y" "A1054663" NA "" "" "ICD10" "PT" "O45.9" "Premature separation of placenta, unspecified" 3 "N" NA NA
"5436" "C0000889" "ENG" "P" "L0000889" "VC" "S0354030" "Y" "A0387755" NA "" "" "ICD10" "PT" "L83" "Acanthosis nigricans" 3 "N" NA NA
"7846" "C0001079" "ENG" "P" "L0001079" "PF" "S0004759" "Y" "A0012115" NA "" "" "ICD10" "PT" "Q77.0" "Achondrogenesis" 3 "N" 256 NA
"7854" "C0001080" "ENG" "P" "L0001080" "PF" "S0009674" "N" "A0018522" NA "" "" "ICD10" "PT" "Q77.4" "Achondroplasia" 3 "N" 256 NA
"8132" "C0001122" "ENG" "P" "L0001122" "PF" "S0010099" "N" "A0018896" NA "" "" "ICD10" "PT" "E87.2" "Acidosis" 3 "N" 256 NA
"8497" "C0001144" "ENG" "P" "L0001148" "VC" "S0354214" "Y" "A0388035" NA "" "" "ICD10" "PT" "L70.0" "Acne vulgaris" 3 "N" NA NA
"8538" "C0001145" "ENG" "P" "L0001145" "VC" "S0798036" "Y" "A0857548" NA "" "" "ICD10" "PT" "L73.0" "Acne keloid" 3 "N" NA NA
"8868" "C0001163" "ENG" "S" "L0182403" "PF" "S0246982" "Y" "A0275643" NA "" "" "ICD10" "PT" "H93.3" "Disorders of acoustic nerve" 3 "N" 256 NA
"8975" "C0001169" "ENG" "P" "L0001169" "PF" "S0217918" "Y" "A0240865" NA "" "" "ICD10" "PT" "D68.4" "Acquired coagulation factor deficiency" 3 "N" 256 NA
"8985" "C0001171" "ENG" "P" "L0001171" "PF" "S0218783" "Y" "A0243524" NA "" "" "ICD10" "PT" "M95.4" "Acquired deformity of chest and rib" 3 "N" NA NA
"9590" "C0001231" "ENG" "P" "L0001231" "PF" "S0369841" "Y" "A0409732" NA "" "" "ICD10" "PT" "E24.3" "Ectopic ACTH syndrome" 3 "N" NA NA
"9885" "C0001261" "ENG" "P" "L0491785" "PF" "S0584771" "Y" "A0639118" NA "" "" "ICD10" "PT" "A42.9" "Actinomycosis, unspecified" 3 "N" 256 NA
"9890" "C0001261" "ENG" "S" "L0001261" "PF" "S0010459" "N" "A0019394" NA "" "" "ICD10" "HT" "A42" "Actinomycosis" 3 "N" 256 NA
"9936" "C0001263" "ENG" "P" "L0001263" "PF" "S0467463" "Y" "A0530794" NA "" "" "ICD10" "PT" "A42.1" "Abdominal actinomycosis" 3 "N" 256 NA
"9947" "C0001264" "ENG" "P" "L0001264" "PF" "S0475822" "Y" "A0541170" NA "" "" "ICD10" "PT" "A42.2" "Cervicofacial actinomycosis" 3 "N" NA NA
"10389" "C0001309" "ENG" "P" "L0001309" "PF" "S0218141" "Y" "A0241470" NA "" "" "ICD10" "PT" "H10.1" "Acute atopic conjunctivitis" 3 "N" 256 NA
"10397" "C0001311" "ENG" "P" "L0678923" "PF" "S0798525" "Y" "A0858105" NA "" "" "ICD10" "PT" "J21.9" "Acute bronchiolitis, unspecified" 3 "N" 256 NA
"10398" "C0001311" "ENG" "S" "L0001311" "PF" "S0218295" "N" "A0241999" NA "" "" "ICD10" "HT" "J21" "Acute bronchiolitis" 3 "N" 256 NA
"10443" "C0001317" "ENG" "P" "L0001317" "VO" "S0798585" "Y" "A0858175" NA "" "" "ICD10" "PT" "C94.0" "Acute erythraemia and erythroleukaemia" 3 "N" NA NA
"10446" "C0001327" "ENG" "P" "L0001327" "PF" "S0218290" "N" "A0241973" NA "" "" "ICD10" "PT" "J04.0" "Acute laryngitis" 3 "N" 256 NA
"10477" "C0001339" "ENG" "P" "L0001339" "PF" "S0218486" "Y" "A0242594" NA "" "" "ICD10" "PT" "K85" "Acute pancreatitis" 3 "N" 256 NA
"10485" "C0001342" "ENG" "P" "L0001342" "PF" "S0218369" "Y" "A0242251" NA "" "" "ICD10" "PT" "K05.2" "Acute periodontitis" 3 "N" 256 NA
"10494" "C0001344" "ENG" "P" "L0679463" "PF" "S0798893" "Y" "A0858548" NA "" "" "ICD10" "PT" "J02.9" "Acute pharyngitis, unspecified" 3 "N" 256 NA
"10495" "C0001344" "ENG" "S" "L0001344" "PF" "S0218288" "N" "A0241962" NA "" "" "ICD10" "HT" "J02" "Acute pharyngitis" 3 "N" 256 NA
"10627" "C0001360" "ENG" "P" "L0001360" "PF" "S0217809" "Y" "A0240527" NA "" "" "ICD10" "PT" "E06.0" "Acute thyroiditis" 3 "N" 256 NA
"10635" "C0001361" "ENG" "P" "L0679496" "PF" "S0798991" "Y" "A0858663" NA "" "" "ICD10" "PT" "J03.9" "Acute tonsillitis, unspecified" 3 "N" 256 NA
"10636" "C0001361" "ENG" "S" "L0001361" "PF" "S0218289" "N" "A0241967" NA "" "" "ICD10" "HT" "J03" "Acute tonsillitis" 3 "N" 256 NA
"11101" "C0001403" "ENG" "S" "L0494940" "PF" "S0718028" "Y" "A0776564" NA "" "" "ICD10" "PT" "E27.1" "Primary adrenocortical insufficiency" 3 "N" NA NA
"12752" "C0001486" "ENG" "S" "L0494273" "PF" "S0586004" "Y" "A0640668" NA "" "" "ICD10" "PT" "B34.0" "Adenovirus infection, unspecified" 3 "N" 256 NA
"13404" "C0001546" "ENG" "P" "L0001546" "VC" "S0799392" "Y" "A0859086" NA "" "" "ICD10" "PT" "F43.2" "Adjustment disorders" 3 "N" NA NA
"14795" "C0001621" "ENG" "P" "L0041793" "PF" "S0860744" "Y" "A0919265" NA "" "" "ICD10" "PT" "E27.9" "Disorder of adrenal gland, unspecified" 3 "N" NA NA
"17855" "C0001816" "ENG" "P" "L0001816" "PF" "S0011802" "N" "A0020922" NA "" "" "ICD10" "PT" "R48.1" "Agnosia" 3 "N" 256 NA
"17913" "C0001818" "ENG" "P" "L0001818" "PF" "S0011811" "N" "A0020941" NA "" "" "ICD10" "PT" "F40.0" "Agoraphobia" 3 "N" 256 NA
"17948" "C0001824" "ENG" "P" "L0001824" "PF" "S0011819" "N" "A0020960" NA "" "" "ICD10" "PT" "D70" "Agranulocytosis" 3 "N" 256 NA
"18163" "C0001849" "ENG" "P" "L0807974" "PF" "S0856420" "Y" "A0914813" NA "" "" "ICD10" "PT" "F02.4" "Dementia in human immunodeficiency virus [HIV] disease" 3 "N" NA NA
"18409" "C0001860" "ENG" "P" "L0001860" "PF" "S0011926" "Y" "A0021103" NA "" "" "ICD10" "PT" "L94.6" "Ainhum" 3 "N" 256 NA
"19237" "C0001916" "ENG" "P" "L0001916" "PF" "S0012019" "Y" "A0021247" NA "" "" "ICD10" "PT" "E70.3" "Albinism" 3 "N" 256 NA
"19411" "C0001940" "ENG" "S" "L0498701" "VO" "S0944589" "Y" "A1000785" NA "" "" "ICD10" "PT" "F10.6" "Mental and behavioural disorders due to use of alcohol, amnesic syndrome" 3 "N" NA NA
"19593" "C0001948" "ENG" "S" "L0001955" "PF" "S0802062" "Y" "A0861826" NA "" "" "ICD10" "PT" "Z72.1" "Alcohol use" 3 "N" 256 NA
"19667" "C0001957" "ENG" "S" "L0498727" "VO" "S0944597" "Y" "A1000801" NA "" "" "ICD10" "PT" "F10.4" "Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium" 3 "N" NA NA
"19979" "C0001973" "ENG" "S" "L0498729" "VO" "S0944590" "Y" "A1000787" NA "" "" "ICD10" "PT" "F10.2" "Mental and behavioural disorders due to use of alcohol, dependence syndrome" 3 "N" NA NA
"20518" "C0002019" "ENG" "P" "L0002019" "PF" "S0864547" "Y" "A0923268" NA "" "" "ICD10" "PT" "R48.0" "Dyslexia and alexia" 3 "N" NA NA
"20987" "C0002063" "ENG" "P" "L0002063" "PF" "S0012247" "Y" "A0021612" NA "" "" "ICD10" "PT" "E87.3" "Alkalosis" 3 "N" 256 NA
"21920" "C0002171" "ENG" "P" "L0002171" "VC" "S0355028" "N" "A0389152" NA "" "" "ICD10" "HT" "L63" "Alopecia areata" 3 "N" NA NA
"21929" "C0002171" "ENG" "S" "L0693628" "PF" "S0802492" "Y" "A0862293" NA "" "" "ICD10" "PT" "L63.9" "Alopecia areata, unspecified" 3 "N" 256 NA
"21961" "C0002173" "ENG" "P" "L0002173" "PF" "S0355029" "Y" "A0389160" NA "" "" "ICD10" "PT" "L65.2" "Alopecia mucinosa" 3 "N" NA NA
"23047" "C0002312" "ENG" "P" "L0002312" "VO" "S0802518" "Y" "A0862314" NA "" "" "ICD10" "PT" "D56.0" "Alpha thalassaemia" 3 "N" NA NA
"23981" "C0002395" "ENG" "P" "L0002395" "VC" "S0355124" "N" "A0389307" NA "" "" "ICD10" "HT" "G30" "Alzheimer's disease" 3 "N" NA NA
"24001" "C0002395" "ENG" "S" "L0694350" "PF" "S0802729" "Y" "A0862506" NA "" "" "ICD10" "PT" "G30.9" "Alzheimer's disease, unspecified" 3 "N" 256 NA
"24657" "C0002438" "ENG" "P" "L0002438" "VO" "S0013298" "N" "A0023013" NA "" "" "ICD10" "HT" "A06" "Amoebiasis" 3 "N" 256 NA
"24668" "C0002438" "ENG" "S" "L0500983" "VO" "S0588778" "Y" "A0643855" NA "" "" "ICD10" "PT" "A06.9" "Amoebiasis, unspecified" 3 "N" NA NA
"24702" "C0002440" "ENG" "P" "L0002440" "VO" "S0617911" "Y" "A0673107" NA "" "" "ICD10" "PT" "A06.1" "Chronic intestinal amoebiasis" 3 "N" 256 NA
"24711" "C0002441" "ENG" "P" "L0002441" "VO" "S0851638" "Y" "A0910422" NA "" "" "ICD10" "PT" "A06.7" "Cutaneous amoebiasis" 3 "N" 256 NA
"24768" "C0002447" "ENG" "P" "L0663881" "PF" "S0844993" "Y" "A0903254" NA "" "" "ICD10" "PT" "Q73.0" "Congenital absence of unspecified limb(s)" 3 "N" NA NA
"24888" "C0002453" "ENG" "S" "L0694612" "VO" "S0802836" "Y" "A0862619" NA "" "" "ICD10" "PT" "N91.2" "Amenorrhoea, unspecified" 3 "N" NA NA
"25485" "C0002514" "ENG" "P" "L0181087" "PF" "S0860745" "Y" "A0919267" NA "" "" "ICD10" "PT" "E72.9" "Disorder of amino-acid metabolism, unspecified" 3 "N" NA NA
"26941" "C0002624" "ENG" "P" "L0002624" "PF" "S0400352" "N" "A0452790" NA "" "" "ICD10" "PT" "R41.2" "Retrograde amnesia" 3 "N" 256 NA
"27684" "C0002689" "ENG" "P" "L0002689" "PF" "S0803138" "Y" "A0862931" NA "" "" "ICD10" "PT" "Y83.5" "Amputation of limb(s)" 3 "N" NA NA
"28155" "C0002726" "ENG" "P" "L0002726" "PF" "S0013420" "N" "A0023230" NA "" "" "ICD10" "HT" "E85" "Amyloidosis" 3 "N" 256 NA
"28168" "C0002726" "ENG" "S" "L0696012" "PF" "S0803227" "Y" "A0863019" NA "" "" "ICD10" "PT" "E85.9" "Amyloidosis, unspecified" 3 "N" 256 NA
"28947" "C0002792" "ENG" "S" "L0698085" "PF" "S0803813" "Y" "A0863650" NA "" "" "ICD10" "PT" "T78.2" "Anaphylactic shock, unspecified" 3 "N" 256 NA
"29547" "C0002831" "ENG" "P" "L0002831" "PF" "S0013691" "N" "A0023575" NA "" "" "ICD10" "PT" "B76.0" "Ancylostomiasis" 3 "N" 256 NA
"29907" "C0002871" "ENG" "S" "L0503461" "VO" "S0803316" "Y" "A0863123" NA "" "" "ICD10" "PT" "D64.9" "Anaemia, unspecified" 3 "N" NA NA
"29948" "C0002874" "ENG" "S" "L0696326" "VO" "S0806957" "Y" "A0866879" NA "" "" "ICD10" "PT" "D61.9" "Aplastic anaemia, unspecified" 3 "N" NA NA
"30050" "C0002876" "ENG" "P" "L0002876" "VO" "S0845193" "Y" "A0903493" NA "" "" "ICD10" "PT" "D64.4" "Congenital dyserythropoietic anaemia" 3 "N" 256 NA
"30096" "C0002878" "ENG" "S" "L0002878" "VO" "S0899297" "Y" "A0956194" NA "" "" "ICD10" "HT" "D55-D59.9" "Haemolytic anaemias" 3 "N" NA NA
"30141" "C0002879" "ENG" "P" "L0677245" "VO" "S0798219" "Y" "A0857782" NA "" "" "ICD10" "PT" "D59.9" "Acquired haemolytic anaemia, unspecified" 3 "N" NA NA
