"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"1" "C0024440" "manuel_jdz4" NA NA NA 0 NA
"2" "C0271051" "manuel_jdz4" NA NA NA 0 NA
"3" "C0042164" "manuel_jdz4" NA NA NA 0 NA
"4" "C1261473" "manuel_jdz4" NA NA NA 69 NA
"5" "C1261473" "manuel_jdz4" NA NA NA 70 NA
"6" "C1261473" "manuel_jdz4" NA NA NA 54 NA
"7" "C1261473" "manuel_jdz4" NA NA NA 61 NA
"8" "C1261473" "manuel_jdz4" NA NA NA 55 NA
"9" "C1261473" "manuel_jdz4" NA NA NA 58 NA
"10" "C1261473" "manuel_jdz4" NA NA NA 49 NA
"11" "C1261473" "manuel_jdz4" NA NA NA 62 NA
"12" "C1261473" "manuel_jdz4" NA NA NA 72 NA
"13" "C1261473" "manuel_jdz4" NA NA NA 68 NA
"14" "C1261473" "manuel_jdz4" NA NA NA 52 NA
"15" "C1261473" "manuel_jdz4" NA NA NA 75 NA
"16" "C1261473" "manuel_jdz4" NA NA NA 51 NA
"17" "C1261473" "manuel_jdz4" NA NA NA 64 NA
"18" "C1261473" "manuel_jdz4" NA NA NA 59 NA
"19" "C1261473" "manuel_jdz4" NA NA NA 74 NA
"20" "C1261473" "manuel_jdz4" NA NA NA 60 NA
"21" "C1261473" "manuel_jdz4" NA NA NA 73 NA
"22" "C1261473" "manuel_jdz4" NA NA NA 65 NA
"23" "C1261473" "manuel_jdz4" NA NA NA 66 NA
"24" "C1261473" "manuel_jdz4" NA NA NA 63 NA
"25" "C1261473" "manuel_jdz4" NA NA NA 57 NA
"26" "C1261473" "manuel_jdz4" NA NA NA 50 NA
"27" "C1261473" "manuel_jdz4" NA NA NA 67 NA
"28" "C1261473" "manuel_jdz4" NA NA NA 71 NA
"29" "C1261473" "manuel_jdz4" NA NA NA 53 NA
"30" "C1261473" "manuel_jdz4" NA NA NA 56 NA
"31" "C0154841" "manuel_jdz4" NA NA NA 78 NA
"32" "C0334299" "manuel_jdz4" NA NA NA 69 NA
"33" "C0334299" "manuel_jdz4" NA NA NA 70 NA
"34" "C0334299" "manuel_jdz4" NA NA NA 54 NA
"35" "C0334299" "manuel_jdz4" NA NA NA 61 NA
"36" "C0334299" "manuel_jdz4" NA NA NA 55 NA
"37" "C0334299" "manuel_jdz4" NA NA NA 58 NA
"38" "C0334299" "manuel_jdz4" NA NA NA 49 NA
"39" "C0334299" "manuel_jdz4" NA NA NA 62 NA
"40" "C0334299" "manuel_jdz4" NA NA NA 72 NA
"41" "C0334299" "manuel_jdz4" NA NA NA 68 NA
"42" "C0334299" "manuel_jdz4" NA NA NA 52 NA
"43" "C0334299" "manuel_jdz4" NA NA NA 75 NA
"44" "C0334299" "manuel_jdz4" NA NA NA 51 NA
"45" "C0334299" "manuel_jdz4" NA NA NA 64 NA
"46" "C0334299" "manuel_jdz4" NA NA NA 59 NA
"47" "C0334299" "manuel_jdz4" NA NA NA 74 NA
"48" "C0334299" "manuel_jdz4" NA NA NA 60 NA
"49" "C0334299" "manuel_jdz4" NA NA NA 73 NA
"50" "C0334299" "manuel_jdz4" NA NA NA 65 NA
"51" "C0334299" "manuel_jdz4" NA NA NA 66 NA
"52" "C0334299" "manuel_jdz4" NA NA NA 63 NA
"53" "C0334299" "manuel_jdz4" NA NA NA 57 NA
"54" "C0334299" "manuel_jdz4" NA NA NA 50 NA
"55" "C0334299" "manuel_jdz4" NA NA NA 67 NA
"56" "C0334299" "manuel_jdz4" NA NA NA 71 NA
"57" "C0334299" "manuel_jdz4" NA NA NA 53 NA
"58" "C0334299" "manuel_jdz4" NA NA NA 56 NA
"59" "C1565489" "manuel_jdz4" NA NA NA 120 NA
"60" "C0268064" "manuel_jdz4" NA NA NA 0 NA
"61" "C0596988" "manuel_jdz4" NA NA NA 0 NA
"62" "C0036421" "manuel_jdz4" NA NA NA 0 NA
"63" "C0152171" "manuel_jdz4" NA NA NA 0 NA
"64" "C0018133" "manuel_jdz4" NA NA NA 164 NA
"65" "C0026986" "manuel_jdz4" NA NA NA 0 NA
"66" "C0033027" "manuel_jdz4" NA NA NA 0 NA
"67" "C0282193" "manuel_jdz4" NA NA NA 0 NA
"68" "C3275069" "manuel_jdz4" NA NA NA 0 NA
"69" "C0238198" "manuel_jdz4" NA NA NA 69 NA
"70" "C0238198" "manuel_jdz4" NA NA NA 70 NA
"71" "C0238198" "manuel_jdz4" NA NA NA 54 NA
"72" "C0238198" "manuel_jdz4" NA NA NA 61 NA
"73" "C0238198" "manuel_jdz4" NA NA NA 55 NA
