"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"1" "C0012634" "manuel_jdz1" NA NA NA 0 NA
"2" "C0011860" "manuel_jdz1" NA NA NA 118 NA
"3" "C0011849" "manuel_jdz1" NA NA NA 118 NA
"4" "C0030193" "manuel_jdz1" NA NA NA 0 NA
"5" "C0277556" "manuel_jdz1" NA NA NA 0 NA
"6" "C2825055" "manuel_jdz1" NA NA NA 0 NA
"7" "C0011847" "manuel_jdz1" NA NA NA 118 NA
"8" "C3714514" "manuel_jdz1" NA NA NA 0 NA
"9" "C1457887" "manuel_jdz1" NA NA NA 0 NA
"10" "C0027769" "manuel_jdz1" NA NA NA 0 NA
"11" "C0021368" "manuel_jdz1" NA NA NA 0 NA
"12" "C3263723" "manuel_jdz1" NA NA NA 0 NA
"13" "C0009450" "manuel_jdz1" NA NA NA 0 NA
"14" "C0028778" "manuel_jdz1" NA NA NA 0 NA
"15" "C0011854" "manuel_jdz1" NA NA NA 118 NA
"16" "C0344307" "manuel_jdz1" NA NA NA 0 NA
"17" "C1521724" "manuel_jdz1" NA NA NA 99 NA
"18" "C0037088" "manuel_jdz1" NA NA NA 0 NA
"19" "C0030201" "manuel_jdz1" NA NA NA 0 NA
"20" "C1561643" "manuel_jdz1" NA NA NA 120 NA
"21" "C0403447" "manuel_jdz1" NA NA NA 120 NA
"22" "C0020963" "manuel_jdz1" NA NA NA 0 NA
"23" "C0332837" "manuel_jdz1" NA NA NA 0 NA
"24" "C0274281" "manuel_jdz1" NA NA NA 0 NA
"25" "C0009566" "manuel_jdz1" NA NA NA 0 NA
"26" "C0022661" "manuel_jdz1" NA NA NA 120 NA
"27" "C0008628" "manuel_jdz1" NA NA NA 0 NA
"28" "C1171258" "manuel_jdz1" NA NA NA 0 NA
"29" "C2745965" "manuel_jdz1" NA NA NA 0 NA
"30" "C3463824" "manuel_jdz1" NA NA NA 0 NA
"31" "C0683278" "manuel_jdz1" NA NA NA 0 NA
"32" "C1705285" "manuel_jdz1" NA NA NA 0 NA
"33" "C0043250" "manuel_jdz1" NA NA NA 0 NA
"34" "C2316810" "manuel_jdz1" NA NA NA 120 NA
"35" "C0150055" "manuel_jdz1" NA NA NA 0 NA
"36" "C0015672" "manuel_jdz1" NA NA NA 0 NA
"37" "C0039082" "manuel_jdz1" NA NA NA 0 NA
"38" "C0042963" "manuel_jdz1" NA NA NA 0 NA
"39" "C0016658" "manuel_jdz1" NA NA NA 0 NA
"40" "C0010340" "manuel_jdz1" NA NA NA 0 NA
"41" "C0000768" "manuel_jdz1" NA NA NA 171 NA
"42" "C0577573" "manuel_jdz1" NA NA NA 0 NA
"43" "C0242606" "manuel_jdz1" NA NA NA 0 NA
"44" "C0600688" "manuel_jdz1" NA NA NA 0 NA
"45" "C0243026" "manuel_jdz1" NA NA NA 0 NA
"46" "C0027497" "manuel_jdz1" NA NA NA 0 NA
"47" "C0036690" "manuel_jdz1" NA NA NA 0 NA
"48" "C1963179" "manuel_jdz1" NA NA NA 0 NA
"49" "C0035242" "manuel_jdz1" NA NA NA 0 NA
"50" "C0043251" "manuel_jdz1" NA NA NA 0 NA
"51" "C0231218" "manuel_jdz1" NA NA NA 0 NA
"52" "C0879626" "manuel_jdz1" NA NA NA 0 NA
"53" "C0004623" "manuel_jdz1" NA NA NA 0 NA
"54" "C0920563" "manuel_jdz1" NA NA NA 0 NA
"55" "C0332448" "manuel_jdz1" NA NA NA 0 NA
"56" "C0332803" "manuel_jdz1" NA NA NA 0 NA
"57" "C0362046" "manuel_jdz1" NA NA NA 118 NA
"58" "C0008679" "manuel_jdz1" NA NA NA 0 NA
"59" "C0021053" "manuel_jdz1" NA NA NA 0 NA
"60" "C3263722" "manuel_jdz1" NA NA NA 0 NA
"61" "C0728867" "manuel_jdz1" NA NA NA 107 NA
"62" "C0016169" "manuel_jdz1" NA NA NA 0 NA
"63" "C0684336" "manuel_jdz1" NA NA NA 0 NA
"64" "C0019247" "manuel_jdz1" NA NA NA 0 NA
"65" "C1373218" "manuel_jdz1" NA NA NA 0 NA
"66" "C0599156" "manuel_jdz1" NA NA NA 0 NA
"67" "C1145670" "manuel_jdz1" NA NA NA 0 NA
"68" "C3203359" "manuel_jdz1" NA NA NA 0 NA
"69" "C0010957" "manuel_jdz1" NA NA NA 0 NA
"70" "C0242184" "manuel_jdz1" NA NA NA 0 NA
"71" "C0036974" "manuel_jdz1" NA NA NA 0 NA
"72" "C0021943" "manuel_jdz1" NA NA NA 0 NA
"73" "C0036983" "manuel_jdz1" NA NA NA 0 NA
"74" "C0011881" "manuel_jdz1" NA NA NA 118 NA
"75" "C1527304" "manuel_jdz1" NA NA NA 0 NA
"76" "C3163620" "manuel_jdz1" NA NA NA 0 NA
"77" "C0043246" "manuel_jdz1" NA NA NA 0 NA
"78" "C0184567" "manuel_jdz1" NA NA NA 0 NA
"79" "C1510420" "manuel_jdz1" NA NA NA 0 NA
"80" "C0700198" "manuel_jdz1" NA NA NA 0 NA
"81" "C3539909" "manuel_jdz1" NA NA NA 0 NA
"82" "C0018681" "manuel_jdz1" NA NA NA 0 NA
"83" "C0413252" "manuel_jdz1" NA NA NA 0 NA
"84" "C0242781" "manuel_jdz1" NA NA NA 0 NA
"85" "C0520904" "manuel_jdz1" NA NA NA 0 NA
"86" "C0016059" "manuel_jdz1" NA NA NA 0 NA
"87" "C0026838" "manuel_jdz1" NA NA NA 0 NA
"88" "C0013404" "manuel_jdz1" NA NA NA 0 NA
"89" "C0013146" "manuel_jdz1" NA NA NA 107 NA
"90" "C0019557" "manuel_jdz1" NA NA NA 0 NA
"91" "C2729169" "manuel_jdz1" NA NA NA 0 NA
"92" "C1719672" "manuel_jdz1" NA NA NA 0 NA
"93" "C3668885" "manuel_jdz1" NA NA NA 0 NA
"94" "C0087086" "manuel_jdz1" NA NA NA 0 NA
"95" "C0700323" "manuel_jdz1" NA NA NA 0 NA
"96" "C0010200" "manuel_jdz1" NA NA NA 0 NA
"97" "C1261287" "manuel_jdz1" NA NA NA 0 NA
"98" "C0332853" "manuel_jdz1" NA NA NA 0 NA
"99" "C0600142" "manuel_jdz1" NA NA NA 0 NA
"100" "C0242488" "manuel_jdz1" NA NA NA 0 NA
"101" "C0000737" "manuel_jdz1" NA NA NA 0 NA
"102" "C0574785" "manuel_jdz1" NA NA NA 0 NA
"103" "C0032787" "manuel_jdz1" NA NA NA 0 NA
"104" "C1517205" "manuel_jdz1" NA NA NA 0 NA
"105" "C0013604" "manuel_jdz1" NA NA NA 0 NA
"106" "C0006625" "manuel_jdz1" NA NA NA 0 NA
"107" "C0332568" "manuel_jdz1" NA NA NA 0 NA
"108" "C0008031" "manuel_jdz1" NA NA NA 0 NA
"109" "C0877248" "manuel_jdz1" NA NA NA 0 NA
"110" "C0004930" "manuel_jdz1" NA NA NA 0 NA
"111" "C0243083" "manuel_jdz1" NA NA NA 0 NA
"112" "C0000925" "manuel_jdz1" NA NA NA 0 NA
"113" "C0234215" "manuel_jdz1" NA NA NA 0 NA
"114" "C0474368" "manuel_jdz1" NA NA NA 0 NA
"115" "C1265679" "manuel_jdz1" NA NA NA 0 NA
"116" "C0004610" "manuel_jdz1" NA NA NA 0 NA
"117" "C0038443" "manuel_jdz1" NA NA NA 0 NA
"118" "C0599766" "manuel_jdz1" NA NA NA 0 NA
"119" "C0009814" "manuel_jdz1" NA NA NA 0 NA
"120" "C0011164" "manuel_jdz1" NA NA NA 0 NA
"121" "C0231239" "manuel_jdz1" NA NA NA 0 NA
"122" "C0264490" "manuel_jdz1" NA NA NA 0 NA
"123" "C0033119" "manuel_jdz1" NA NA NA 0 NA
"124" "C0334094" "manuel_jdz1" NA NA NA 0 NA
"125" "C1689985" "manuel_jdz1" NA NA NA 0 NA
"126" "C0028734" "manuel_jdz1" NA NA NA 0 NA
"127" "C0428977" "manuel_jdz1" NA NA NA 0 NA
"128" "C0039231" "manuel_jdz1" NA NA NA 0 NA
"129" "C3714552" "manuel_jdz1" NA NA NA 0 NA
"130" "C0038941" "manuel_jdz1" NA NA NA 0 NA
"131" "C0237593" "manuel_jdz1" NA NA NA 0 NA
"132" "C0342257" "manuel_jdz1" NA NA NA 118 NA
"133" "C0684320" "manuel_jdz1" NA NA NA 0 NA
"134" "C1963065" "manuel_jdz1" NA NA NA 0 NA
"135" "C0008767" "manuel_jdz1" NA NA NA 0 NA
"136" "C0233494" "manuel_jdz1" NA NA NA 0 NA
"137" "C0520909" "manuel_jdz1" NA NA NA 0 NA
"138" "C0020564" "manuel_jdz1" NA NA NA 0 NA
"139" "C0027498" "manuel_jdz1" NA NA NA 0 NA
"140" "C0149746" "manuel_jdz1" NA NA NA 0 NA
"141" "C0032343" "manuel_jdz1" NA NA NA 0 NA
"142" "C0333641" "manuel_jdz1" NA NA NA 0 NA
"143" "C0015230" "manuel_jdz1" NA NA NA 0 NA
"144" "C0238217" "manuel_jdz1" NA NA NA 0 NA
"145" "C1832387" "manuel_jdz1" NA NA NA 118 NA
"146" "C0011175" "manuel_jdz1" NA NA NA 0 NA
"147" "C0032788" "manuel_jdz1" NA NA NA 0 NA
"148" "C0242429" "manuel_jdz1" NA NA NA 0 NA
"149" "C0018991" "manuel_jdz1" NA NA NA 0 NA
"150" "C0242966" "manuel_jdz1" NA NA NA 0 NA
"151" "C0443146" "manuel_jdz1" NA NA NA 0 NA
"152" "C0481391" "manuel_jdz1" NA NA NA 0 NA
"153" "C0040715" "manuel_jdz1" NA NA NA 0 NA
"154" "C0694563" "manuel_jdz1" NA NA NA 0 NA
"155" "C0496118" "manuel_jdz1" NA NA NA 0 NA
"156" "C0026837" "manuel_jdz1" NA NA NA 0 NA
"157" "C3543005" "manuel_jdz1" NA NA NA 0 NA
"158" "C0043144" "manuel_jdz1" NA NA NA 0 NA
"159" "C1140999" "manuel_jdz1" NA NA NA 0 NA
"160" "C0452131" "manuel_jdz1" NA NA NA 0 NA
"161" "C0699753" "manuel_jdz1" NA NA NA 0 NA
"162" "C0040822" "manuel_jdz1" NA NA NA 0 NA
"163" "C0022744" "manuel_jdz1" NA NA NA 0 NA
"164" "C0039070" "manuel_jdz1" NA NA NA 0 NA
"165" "C0016382" "manuel_jdz1" NA NA NA 0 NA
"166" "C0085632" "manuel_jdz1" NA NA NA 0 NA
"167" "C0231617" "manuel_jdz1" NA NA NA 0 NA
"168" "C0233601" "manuel_jdz1" NA NA NA 0 NA
"169" "C0410158" "manuel_jdz1" NA NA NA 0 NA
"170" "C1442161" "manuel_jdz1" NA NA NA 0 NA
"171" "C1848140" "manuel_jdz1" NA NA NA 0 NA
"172" "C0160420" "manuel_jdz1" NA NA NA 0 NA
"173" "C0575090" "manuel_jdz1" NA NA NA 0 NA
"174" "C0730345" "manuel_jdz1" NA NA NA 0 NA
"175" "C0020507" "manuel_jdz1" NA NA NA 0 NA
"176" "C0038561" "manuel_jdz1" NA NA NA 0 NA
"177" "C0398353" "manuel_jdz1" NA NA NA 0 NA
"178" "C0221208" "manuel_jdz1" NA NA NA 0 NA
"179" "C0000924" "manuel_jdz1" NA NA NA 0 NA
"180" "C0161816" "manuel_jdz1" NA NA NA 0 NA
"181" "C0443306" "manuel_jdz1" NA NA NA 0 NA
"182" "C0028259" "manuel_jdz1" NA NA NA 0 NA
"183" "C0037384" "manuel_jdz1" NA NA NA 0 NA
"184" "C0332679" "manuel_jdz1" NA NA NA 0 NA
"185" "C0476273" "manuel_jdz1" NA NA NA 0 NA
"186" "C0520893" "manuel_jdz1" NA NA NA 0 NA
"187" "C0544885" "manuel_jdz1" NA NA NA 0 NA
"188" "C0005658" "manuel_jdz1" NA NA NA 0 NA
"189" "C0014591" "manuel_jdz1" NA NA NA 0 NA
"190" "C0015376" "manuel_jdz1" NA NA NA 0 NA
"191" "C0022346" "manuel_jdz1" NA NA NA 0 NA
"192" "C0340861" "manuel_jdz1" NA NA NA 0 NA
"193" "C1265875" "manuel_jdz1" NA NA NA 0 NA
"194" "C0161479" "manuel_jdz1" NA NA NA 0 NA
"195" "C0026821" "manuel_jdz1" NA NA NA 0 NA
"196" "C0020175" "manuel_jdz1" NA NA NA 0 NA
"197" "C0151740" "manuel_jdz1" NA NA NA 0 NA
"198" "C0233629" "manuel_jdz1" NA NA NA 0 NA
"199" "C0270075" "manuel_jdz1" NA NA NA 0 NA
"200" "C0426070" "manuel_jdz1" NA NA NA 0 NA
"201" "C0004144" "manuel_jdz1" NA NA NA 0 NA
"202" "C0012833" "manuel_jdz1" NA NA NA 0 NA
"203" "C0009421" "manuel_jdz1" NA NA NA 0 NA
"204" "C0009938" "manuel_jdz1" NA NA NA 0 NA
"205" "C0162633" "manuel_jdz1" NA NA NA 0 NA
"206" "C0235063" "manuel_jdz1" NA NA NA 0 NA
"207" "C0243088" "manuel_jdz1" NA NA NA 0 NA
"208" "C0852694" "manuel_jdz1" NA NA NA 0 NA
"209" "C2936380" "manuel_jdz1" NA NA NA 0 NA
"210" "C0234233" "manuel_jdz1" NA NA NA 0 NA
"211" "C0002938" "manuel_jdz1" NA NA NA 0 NA
"212" "C0018944" "manuel_jdz1" NA NA NA 0 NA
"213" "C0037578" "manuel_jdz1" NA NA NA 0 NA
"214" "C0262627" "manuel_jdz1" NA NA NA 0 NA
"215" "C0546255" "manuel_jdz1" NA NA NA 0 NA
"216" "C3811884" "manuel_jdz1" NA NA NA 0 NA
"217" "C3812172" "manuel_jdz1" NA NA NA 0 NA
"218" "C0030200" "manuel_jdz1" NA NA NA 0 NA
"219" "C0233762" "manuel_jdz1" NA NA NA 0 NA
"220" "C0520905" "manuel_jdz1" NA NA NA 0 NA
"221" "C0546256" "manuel_jdz1" NA NA NA 0 NA
"222" "C1260922" "manuel_jdz1" NA NA NA 0 NA
"223" "C1265601" "manuel_jdz1" NA NA NA 0 NA
"224" "C1705759" "manuel_jdz1" NA NA NA 0 NA
"225" "C1709246" "manuel_jdz1" NA NA NA 0 NA
"226" "C2004489" "manuel_jdz1" NA NA NA 0 NA
"227" "C1959609" "manuel_jdz1" NA NA NA 0 NA
"228" "C0001314" "manuel_jdz1" NA NA NA 0 NA
"229" "C0013687" "manuel_jdz1" NA NA NA 0 NA
"230" "C0410256" "manuel_jdz1" NA NA NA 0 NA
"231" "C0866323" "manuel_jdz1" NA NA NA 0 NA
"232" "C1565249" "manuel_jdz1" NA NA NA 0 NA
"233" "C3489393" "manuel_jdz1" NA NA NA 0 NA
"234" "C0235394" "manuel_jdz1" NA NA NA 0 NA
"235" "C1533163" "manuel_jdz1" NA NA NA 0 NA
"236" "C0003794" "manuel_jdz1" NA NA NA 0 NA
"237" "C0008039" "manuel_jdz1" NA NA NA 0 NA
"238" "C0018520" "manuel_jdz1" NA NA NA 0 NA
"239" "C0684309" "manuel_jdz1" NA NA NA 0 NA
"240" "C1368999" "manuel_jdz1" NA NA NA 0 NA
"241" "C1705427" "manuel_jdz1" NA NA NA 0 NA
"242" "C1962948" "manuel_jdz1" NA NA NA 0 NA
"243" "C0001122" "manuel_jdz1" NA NA NA 0 NA
"244" "C2711450" "manuel_jdz1" NA NA NA 0 NA
"245" "C0026771" "manuel_jdz1" NA NA NA 0 NA
"246" "C0221500" "manuel_jdz1" NA NA NA 0 NA
"247" "C0427149" "manuel_jdz1" NA NA NA 0 NA
"248" "C0740697" "manuel_jdz1" NA NA NA 0 NA
"249" "C0920269" "manuel_jdz1" NA NA NA 0 NA
"250" "C0016662" "manuel_jdz1" NA NA NA 0 NA
"251" "C0001125" "manuel_jdz1" NA NA NA 0 NA
"252" "C0002690" "manuel_jdz1" NA NA NA 0 NA
"253" "C0008715" "manuel_jdz1" NA NA NA 0 NA
"254" "C0020505" "manuel_jdz1" NA NA NA 0 NA
"255" "C0085633" "manuel_jdz1" NA NA NA 0 NA
"256" "C0236865" "manuel_jdz1" NA NA NA 0 NA
"257" "C0270327" "manuel_jdz1" NA NA NA 0 NA
"258" "C0332798" "manuel_jdz1" NA NA NA 0 NA
"259" "C0678236" "manuel_jdz1" NA NA NA 0 NA
"260" "C0700361" "manuel_jdz1" NA NA NA 0 NA
"261" "C0877008" "manuel_jdz1" NA NA NA 0 NA
"262" "C1527311" "manuel_jdz1" NA NA NA 0 NA
"263" "C1832544" "manuel_jdz1" NA NA NA 118 NA
"264" "C1863594" "manuel_jdz1" NA NA NA 118 NA
"265" "C3178781" "manuel_jdz1" NA NA NA 0 NA
"266" "C1998242" "manuel_jdz1" NA NA NA 0 NA
"267" "C0004368" "manuel_jdz1" NA NA NA 0 NA
"268" "C0009492" "manuel_jdz1" NA NA NA 0 NA
"269" "C0012739" "manuel_jdz1" NA NA NA 0 NA
"270" "C0012860" "manuel_jdz1" NA NA NA 0 NA
"271" "C0014009" "manuel_jdz1" NA NA NA 0 NA
"272" "C0020488" "manuel_jdz1" NA NA NA 0 NA
"273" "C0039504" "manuel_jdz1" NA NA NA 0 NA
"274" "C0151293" "manuel_jdz1" NA NA NA 0 NA
"275" "C0231807" "manuel_jdz1" NA NA NA 0 NA
"276" "C0333262" "manuel_jdz1" NA NA NA 0 NA
"277" "C0449430" "manuel_jdz1" NA NA NA 0 NA
"278" "C0677660" "manuel_jdz1" NA NA NA 0 NA
"279" "C0949177" "manuel_jdz1" NA NA NA 0 NA
