"cause_name" "ICD" "except" "nb_except" "Oth"
"1" "Tuberculosis" "B90;P37.0;A15;A16;A17;A18;A19" "" 0 0
"2" "HIV/AIDS" "C46;D84.9;B20;B21;B22;B23;B24" "" 0 0
"5" "Diarrheal diseases" "A00;A02;A03;A04;A06;A07;A08;A09" "" 0 0
"16" "Typhoid and paratyphoid fevers" "A01" "" 0 0
"17" "Lower respiratory infections" "J13;J14;J12;J85;P23;J09;J10;J11;J15;J16;J17;J18;J19;J20;J21;J22" "" 1 0
"23" "Upper respiratory infections" "J00;J01;J02;J03;J04;J05;J06" "" 0 0
"24" "Otitis media" "H70;H65;H66;H67;H68" "" 0 0
"25" "Meningitis" "A39;A87;G00;G01;G02;G03" "" 0 0
"30" "Encephalitis" "B94.1;G04;A83;A84;A85;A86" "" 0 0
"31" "Diphtheria" "A36" "" 0 0
"32" "Whooping cough" "A37" "" 0 0
"33" "Tetanus" "A33;A34;A35" "" 0 0
"34" "Measles" "B05" "" 0 0
"35" "Varicella" "P35.8;B01;B02" "" 0 0
"36" "Malaria" "P37.3;P37.4;B50;B51;B52;B53;B54" "" 0 0
"37" "Chagas disease" "B57" "" 0 0
"38" "Leishmaniasis" "B55" "" 0 0
"39" "African trypanosomiasis" "B56" "" 0 0
"40" "Schistosomiasis" "B65" "" 0 0
"41" "Cysticercosis" "B69" "" 0 0
"42" "Echinococcosis" "B67" "" 0 0
"43" "Lymphatic filariasis" "B74" "B74.3;B74.4;B74.8;B74.9" 1 0
"44" "Onchocerciasis" "B73" "" 0 0
"45" "Trachoma" "A71;A74.0;B94.0" "" 0 0
"46" "Dengue" "A90;A91" "" 0 0
"47" "Yellow fever" "A95" "" 0 0
"48" "Rabies" "A82" "" 0 0
"50" "Ascariasis" "B77" "" 0 0
"51" "Trichuriasis" "B79" "" 0 0
"52" "Hookworm disease" "B76" "" 0 0
"53" "Food-borne trematodiases" "B66" "" 0 0
"55" "Maternal disorders" "O00;O01;O02;O03;O04;O05;O06;O07;O08;O09;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;O21;O22;O23;O24;O25;O26;O27;O28;O29;O30;O31;O32;O33;O34;O35;O36;O37;O38;O39;O40;O41;O42;O43;O44;O45;O46;O47;O48;O49;O50;O51;O52;O53;O54;O55;O56;O57;O58;O59;O60;O61;O62;O63;O64;O65;O66;O67;O68;O69;O70;O71;O72;O73;O74;O75;O76;O77;O78;O79;O80;O81;O82;O83;O84;O85;O86;O87;O88;O89;O90;O91;O92;O93;O94;O95;O96;O97;O98;O99" "" 0 0
"63" "Preterm birth complications" "P01.0;P01.1;P07;P22;P61.2;P77;P52;P25;P26;P27;P28" "" 0 0
"64" "Neonatal encephalopathy (birth asphyxia and birth trauma)" "P00;P24;P70;P01.7;P01.8;P01.9;P02;P03;P08.0;P08.1;P08.2;P10;P11;P12;P13;P14;P15;P20;P21;P90;P91" "" 0 0
"65" "Sepsis and other infectious disorders of the newborn baby" "P36;P38;P39" "" 0 0
"68" "Protein-energy malnutrition" "E64.0;E40;E41;E42;E43;E44;E45;E46" "" 0 0
"69" "Iodine deficiency" "E00;E01;E02" "" 0 0
"70" "Vitamin A deficiency" "E50;E64.1" "" 0 0
"71" "Iron-deficiency anemia" "D50;D64.9" "" 0 0
"75" "Syphilis" "A50;A51;A52;A53" "" 0 0
"76" "Sexually transmitted chlamydial diseases" "A55;A56" "" 0 0
"77" "Gonococcal infection" "A54" "" 0 0
"78" "Trichomoniasis" "A59" "" 0 0
"81" "Acute hepatitis A" "B15" "" 0 0
"82" "Acute hepatitis B" "B16;B17.0;P35.3" "" 0 0
"83" "Acute hepatitis C" "B17.1" "" 0 0
"84" "Acute hepatitis E" "B17.2" "" 0 0
"85" "Leprosy" "A30;B92" "" 0 0
"87" "Esophageal cancer" "C15;D00.1" "" 0 0
"88" "Stomach cancer" "C16;D00.2;D37.1" "" 0 0
"89" "Liver cancer" "C22;D01.5;D37.6" "" 0 0
"94" "Larynx cancer" "C32;D02.0;D38.0" "" 0 0
"95" "Trachea, bronchus, and lung cancers" "D38.1;C33;C34;D02.1;D02.2" "" 0 0
"96" "Breast cancer" "C50;D05;D48.6" "" 0 0
"97" "Cervical cancer" "C53;D06" "" 0 0
"98" "Uterine cancer" "C54;D07.0;D39.0" "" 0 0
"99" "Prostate cancer" "C61;D07.5;D40.0" "" 0 0
"100" "Colon and rectum cancers" "C18;C19;C20;C21;D01.0;D01.1;D01.2;D01.3;D37.3;D37.4;D37.5" "" 0 0
"101" "Mouth cancer" "C00;C01;C02;C03;C04;C05;C06;C07;C08" "" 0 0
"102" "Nasopharynx cancer" "C11" "" 0 0
"103" "Cancer of other part of pharynx and oropharynx" "C09;C10;C12;C13" "" 0 0
"104" "Gallbladder and biliary tract cancer" "C23;C24" "" 0 0
"105" "Pancreatic cancer" "C25" "" 0 0
"106" "Malignant melanoma of skin" "C43;D03;D48.5" "" 0 0
"107" "Non-melanoma skin cancer" "C44;D04" "" 0 0
"108" "Ovarian cancer" "C56;D39.1" "" 0 0
"109" "Testicular cancer" "C62;D40.1" "" 0 0
"110" "Kidney and other urinary organ cancers" "C64;C65;C66;D41.0;D41.1;D41.2" "" 0 0
"111" "Bladder cancer" "C67;D09.0;D41.4" "" 0 0
"112" "Brain and nervous system cancers" "C70;C71;C72;D42;D43;D44.3;D44.4;D44.5" "" 0 0
"113" "Thyroid cancer" "C73;D44.0" "" 0 0
"114" "Hodgkin's disease" "C81" "" 0 0
"115" "Non-Hodgkin lymphoma" "C96;C82;C83;C84;C85" "" 0 0
"116" "Multiple myeloma" "C88;C89;C90" "" 0 0
"117" "Leukemia" "C91;C92;C93;C94;C95" "" 0 0
"119" "Rheumatic heart disease" "I01;I02.0;I05;I06;I07;I08;I09" "" 0 0
"120" "Ischemic heart disease" "I20;I21;I22;I23;I24;I25" "" 0 0
"121" "Cerebrovascular disease" "I60;I61;I62;I63;I65;I66;I67;I69" "" 0 0
"124" "Hypertensive heart disease" "I11" "" 0 0
"125" "Cardiomyopathy and myocarditis" "I42;I40" "" 0 0
"126" "Atrial fibrillation and flutter" "I48" "" 0 0
"127" "Aortic aneurysm" "I71" "" 0 0
"128" "Peripheral vascular disease" "I73;I70.2" "" 0 0
"129" "Endocarditis" "I33" "" 0 0
"132" "Chronic obstructive pulmonary disease" "J47;J40;J41;J42;J43;J44" "" 0 0
"133" "Pneumoconiosis" "J60;J61;J62;J63;J64;J65" "" 0 0
"134" "Asthma" "J45;J46" "" 0 0
"135" "Interstitial lung disease and pulmonary sarcoidosis" "D86.0;D86.2;D86.9;J84" "" 0 0
"137" "Cirrhosis of the liver" "B18;I85;K70;K71.7;K76.9;K72.1;K72.2;K72.3;K72.4;K72.5;K72.6;K72.7;K72.8;K72.9;K73;K74;K75.2;K75.3;K75.4;K75.5;K75.6;K75.7;K75.8;K75.9;K76.6;K76.7" "" 0 0
