"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"2" "C0028754" "manuel_jdz3" NA NA NA "0" NA
"3" "C0242992" "manuel_jdz3" NA NA NA "0" NA
"10" "C0281856" "manuel_jdz3" NA NA NA "0" NA
"16" "C0497406" "manuel_jdz3" NA NA NA "0" NA
"18" "C1096106" "manuel_jdz3" NA NA NA "0" NA
"23" "C0815107" "manuel_jdz3" NA NA NA "18" NA
"26" "C0020443" "manuel_jdz3" NA NA NA "0" NA
"27" "C0524620" "manuel_jdz3" NA NA NA "0" NA
"28" "C0021655" "manuel_jdz3" NA NA NA "19" NA
"30" "C0741282" "manuel_jdz3" NA NA NA "13" NA
"33" "C1392786" "manuel_jdz3" NA NA NA "0" NA
"34" "C0271650" "manuel_jdz3" NA NA NA "19" NA
"35" "C0242339" "manuel_jdz3" NA NA NA "0" NA
"38" "C0342895" "manuel_jdz3" NA NA NA "0" NA
"40" "C0020615" "manuel_jdz3" NA NA NA "0" NA
"45" "C0239313" "manuel_jdz3" NA NA NA "0" NA
"46" "C0022951" "manuel_jdz3" NA NA NA "0" NA
"75" "C0277562" "manuel_jdz3" NA NA NA "0" NA
"76" "C0235169" "manuel_jdz3" NA NA NA "0" NA
"80" "C1155266" "manuel_jdz3" NA NA NA "0" NA
"82" "C3825414" "manuel_jdz3" NA NA NA "0" NA
"83" "C0011880" "manuel_jdz3" NA NA NA "19" NA
"88" "C0042749" "manuel_jdz3" NA NA NA "0" NA
"91" "C1142264" "manuel_jdz3" NA NA NA "0" NA
"95" "C3714660" "manuel_jdz3" NA NA NA "0" NA
"97" "C0162566" "manuel_jdz3" NA NA NA "0" NA
"99" "C0010674" "manuel_jdz3" NA NA NA "0" NA
"101" "C0857122" "manuel_jdz3" NA NA NA "0" NA
"103" "C0850624" "manuel_jdz3" NA NA NA "0" NA
"106" "C0678356" "manuel_jdz3" NA NA NA "0" NA
"111" "C0234253" "manuel_jdz3" NA NA NA "0" NA
"114" "C0277564" "manuel_jdz3" NA NA NA "0" NA
"118" "C0043194" "manuel_jdz3" NA NA NA "0" NA
"119" "C3665444" "manuel_jdz3" NA NA NA "0" NA
"122" "C0016204" "manuel_jdz3" NA NA NA "0" NA
"123" "C1516986" "manuel_jdz3" NA NA NA "0" NA
"125" "C0278139" "manuel_jdz3" NA NA NA "0" NA
"127" "C0559307" "manuel_jdz3" NA NA NA "0" NA
"129" "C0940933" "manuel_jdz3" NA NA NA "0" NA
"131" "C0741923" "manuel_jdz3" NA NA NA "0" NA
"132" "C0020459" "manuel_jdz3" NA NA NA "0" NA
"133" "C1397014" "manuel_jdz3" NA NA NA "0" NA
"134" "C0027947" "manuel_jdz3" NA NA NA "0" NA
"135" "C0023530" "manuel_jdz3" NA NA NA "0" NA
"140" "C0392164" "manuel_jdz3" NA NA NA "0" NA
"601" "C0268064" "manuel_jdz4" NA NA NA "0" NA
"641" "C0018133" "manuel_jdz4" NA NA NA "28" NA
"671" "C0282193" "manuel_jdz4" NA NA NA "0" NA
"961" "C0342751" "manuel_jdz4" NA NA NA "0" NA
"1081" "C0867389" "manuel_jdz4" NA NA NA "28" NA
"1091" "C1609535" "manuel_jdz4" NA NA NA "0" NA
"1101" "C1512441" "manuel_jdz4" NA NA NA "0" NA
"1141" "C0877445" "manuel_jdz4" NA NA NA "0" NA
"1161" "C0398650" "manuel_jdz4" NA NA NA "0" NA
"1201" "C0268575" "manuel_jdz4" NA NA NA "0" NA
"1100" "C0012634" "manuel_jdz1" NA NA NA "0" NA
"4100" "C0030193" "manuel_jdz1" NA NA NA "0" NA
"5100" "C0277556" "manuel_jdz1" NA NA NA "0" NA
"6100" "C2825055" "manuel_jdz1" NA NA NA "0" NA
"812" "C3714514" "manuel_jdz1" NA NA NA "0" NA
"912" "C1457887" "manuel_jdz1" NA NA NA "0" NA
"1012" "C0027769" "manuel_jdz1" NA NA NA "0" NA
"1112" "C0021368" "manuel_jdz1" NA NA NA "0" NA
"1212" "C3263723" "manuel_jdz1" NA NA NA "0" NA
"1311" "C0009450" "manuel_jdz1" NA NA NA "0" NA
"1410" "C0028778" "manuel_jdz1" NA NA NA "0" NA
