"cause_name" "ICD" "except"
"1" "Tuberculosis" "B90;P37.0;A15;A16;A17;A18;A19" ""
"2" "HIV/AIDS" "C46;D84.9;B20;B21;B22;B23;B24" ""
"3" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" "A00;A01;A02;A03;A04;A06;A07;A08;A09;A33;A34;A35;A36;A37;A39;A83;A84;A85;A86;A87;B01;B02;B05;B94.1;G00;G01;G02;G03;G04;H65;H66;H67;H68;H70;J00;J01;J02;J03;J04;J05;J06;J09;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J85;P23;P35.8" ""
"4" "Malaria" "P37.3;P37.4;B50;B51;B52;B53;B54" ""
"5" "Neglected tropical diseases excluding malaria" "A68;A69.2;A71;A74.0;A75;A76;A77;A78;A79;A82;A90;A91;A92;A93;A94;A95;A96;A98;B55;B56;B57;B58;B59;B60;B61;B62;B63;B64;B65;B66;B67;B69;B70;B71;B72;B73;B74;B76;B77;B78;B79;B80;B81;B83;B94.0;P37.1" ""
"6" "Maternal disorders" "O00;O01;O02;O03;O04;O05;O06;O07;O08;O09;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;O21;O22;O23;O24;O25;O26;O27;O28;O29;O30;O31;O32;O33;O34;O35;O36;O37;O38;O39;O40;O41;O42;O43;O44;O45;O46;O47;O48;O49;O50;O51;O52;O53;O54;O55;O56;O57;O58;O59;O60;O61;O62;O63;O64;O65;O66;O67;O68;O69;O70;O71;O72;O73;O74;O75;O76;O77;O78;O79;O80;O81;O82;O83;O84;O85;O86;O87;O88;O89;O90;O91;O92;O93;O94;O95;O96;O97;O98;O99" ""
"7" "Neonatal disorders" "P00;P01;P02;P03;P04;P05;P07;P08;P10;P11;P12;P13;P14;P15;P20;P21;P22;P24;P25;P26;P27;P28;P29;P36;P38;P39;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P63;P64;P65;P66;P67;P68;P69;P70;P71;P72;P73;P74;P76;P77;P78;P79;P80;P81;P82;P83;P90;P91;P92;P93;P94;P96" ""
"8" "Nutritional deficiencies" "D50;D51;D52;D53;D64.9;E00;E01;E02;E40;E41;E42;E43;E44;E45;E46;E50;E51;E52;E53;E54;E55;E56;E57;E58;E59;E60;E61;E62;E63;E64" ""
"9" "Sexually transmitted diseases excluding HIV" "A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60;A63;N70;N71;N72;N73" ""
"10" "Hepatitis" "B15;B16;B17;P35.3" ""
"11" "Leprosy" "A30;B92" ""
