"level" "cause_name" "parent"
"1" "0" "Total (All Causes)" "None"
"2" "1" "Communicable, maternal, neonatal, and nutritional disorders" "Total (All Causes)"
"3" "2" "HIV/AIDS and tuberculosis" "Communicable, maternal, neonatal, and nutritional disorders"
"4" "3" "HIV/AIDS" "HIV/AIDS and tuberculosis"
"5" "3" "Tuberculosis" "HIV/AIDS and tuberculosis"
"6" "2" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" "Communicable, maternal, neonatal, and nutritional disorders"
"19" "2" "Neglected tropical diseases and malaria" "Communicable, maternal, neonatal, and nutritional disorders"
"26" "3" "Neglected tropical diseases excluding malaria" "Neglected tropical diseases and malaria"
"32" "3" "Malaria" "Neglected tropical diseases and malaria"
"38" "2" "Maternal disorders" "Communicable, maternal, neonatal, and nutritional disorders"
"39" "2" "Neonatal disorders" "Communicable, maternal, neonatal, and nutritional disorders"
"43" "2" "Nutritional deficiencies" "Communicable, maternal, neonatal, and nutritional disorders"
"48" "2" "Other communicable, maternal, neonatal, and nutritional disorders" "Communicable, maternal, neonatal, and nutritional disorders"
"49" "3" "Hepatitis" "Other communicable, maternal, neonatal, and nutritional disorders"
"54" "3" "Leprosy" "Other communicable, maternal, neonatal, and nutritional disorders"
"55" "3" "Sexually transmitted diseases excluding HIV" "Other communicable, maternal, neonatal, and nutritional disorders"
"60" "1" "Non-communicable diseases" "Total (All Causes)"
"61" "2" "Neoplasms" "Non-communicable diseases"
"89" "2" "Cardiovascular and circulatory diseases" "Non-communicable diseases"
"99" "2" "Chronic respiratory diseases" "Non-communicable diseases"
"104" "2" "Cirrhosis of the liver" "Non-communicable diseases"
"105" "2" "Digestive diseases (except cirrhosis)" "Non-communicable diseases"
"115" "2" "Neurological disorders" "Non-communicable diseases"
"122" "2" "Mental and behavioral disorders" "Non-communicable diseases"
"139" "2" "Diabetes, urogenital, blood, and endocrine diseases" "Non-communicable diseases"
"143" "3" "Diabetes, urinary diseases and male infertility" "Diabetes, urogenital, blood, and endocrine diseases"
"148" "3" "Gynecological diseases" "Diabetes, urogenital, blood, and endocrine diseases"
"155" "3" "Hemoglobinopathies and hemolytic anemias" "Diabetes, urogenital, blood, and endocrine diseases"
"159" "2" "Musculoskeletal disorders" "Non-communicable diseases"
"166" "2" "Other non-communicable diseases" "Non-communicable diseases"
"167" "3" "Congenital anomalies" "Other non-communicable diseases"
"168" "3" "Skin and subcutaneous diseases" "Other non-communicable diseases"
"181" "3" "Sense organ diseases" "Other non-communicable diseases"
"186" "3" "Oral disorders" "Other non-communicable diseases"
"190" "3" "Sudden infant death syndrome" "Other non-communicable diseases"
"191" "1" "Injuries" "Total (All Causes)"
