"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"C0000727" "C0000727" "I" "C0000727" "R10.0" "R10.0" NA "B0"
"C0000768" "C0000768" "I" "C0000768" "Q89.9" "Q89.9" "23" NA
"C0000770" "C0000770" "I" "C0000770" "K00.2" "K00.2" "16" NA
"C0000774" "C0000774" "I" "C0000774" "E16.4" "E16.4" NA "B0"
"C0000786" "C0000786" "I" "C0000786" "O03" "O03" "6" NA
"C0000809" "C0000809" "I" "C0000809" "N96" "N96" NA "A0"
"C0000814" "C0000814" "I" "C0000814" "O02.1" "O02.1" "6" NA
"C0000821" "C0000821" "I" "C0000821" "O20.0" "O20.0" "6" NA
"C0000832.1" "C0000832" "I" "C0000832" "O45" "O45" "6" NA
"C0000832.2" "C0000832" "I" "C0000832" "O45.9" "O45.9" "6" NA
"C0000889" "C0000889" "I" "C0000889" "L83" "L83" "24" NA
"C0001079" "C0001079" "I" "C0001079" "Q77.0" "Q77.0" "23" NA
"C0001080" "C0001080" "I" "C0001080" "Q77.4" "Q77.4" "23" NA
"C0001122" "C0001122" "I" "C0001122" "E87.2" "E87.2" NA "B0"
"C0001144" "C0001144" "I" "C0001144" "L70.0" "L70.0" "24" NA
"C0001145" "C0001145" "I" "C0001145" "L73.0" "L73.0" "24" NA
"C0001163" "C0001163" "I" "C0001163" "H93.3" "H93.3" "25" NA
"C0001169" "C0001169" "I" "C0001169" "D68.4" "D68.4" NA "B0"
"C0001171" "C0001171" "I" "C0001171" "M95.4" "M95.4" "22" NA
"C0001231" "C0001231" "I" "C0001231" "E24.3" "E24.3" NA "B0"
"C0001261.1" "C0001261" "I" "C0001261" "A42.9" "A42.9" NA "B0"
"C0001261.2" "C0001261" "I" "C0001261" "A42" "A42" NA "A0"
"C0001263" "C0001263" "I" "C0001263" "A42.1" "A42.1" NA "B0"
"C0001264" "C0001264" "I" "C0001264" "A42.2" "A42.2" NA "B0"
"C0001309" "C0001309" "I" "C0001309" "H10.1" "H10.1" "25" NA
"C0001311.1" "C0001311" "I" "C0001311" "J21.9" "J21.9" "3" NA
"C0001311.2" "C0001311" "I" "C0001311" "J21" "J21" "3" NA
"C0001317" "C0001317" "I" "C0001317" "C94.0" "C94.0" "12" NA
"C0001327" "C0001327" "I" "C0001327" "J04.0" "J04.0" "3" NA
"C0001339" "C0001339" "I" "C0001339" "K85" "K85" "16" NA
"C0001342" "C0001342" "I" "C0001342" "K05.2" "K05.2" "26" NA
"C0001344.1" "C0001344" "I" "C0001344" "J02.9" "J02.9" "3" NA
"C0001344.2" "C0001344" "I" "C0001344" "J02" "J02" "3" NA
"C0001360" "C0001360" "I" "C0001360" "E06.0" "E06.0" NA "B0"
"C0001361.1" "C0001361" "I" "C0001361" "J03.9" "J03.9" "3" NA
"C0001361.2" "C0001361" "I" "C0001361" "J03" "J03" "3" NA
"C0001403" "C0001403" "I" "C0001403" "E27.1" "E27.1" NA "B0"
"C0001486" "C0001486" "I" "C0001486" "B34.0" "B34.0" NA "B0"
"C0001546" "C0001546" "I" "C0001546" "F43.2" "F43.2" "18" NA
"C0001621" "C0001621" "I" "C0001621" "E27.9" "E27.9" NA "B0"
"C0001816" "C0001816" "I" "C0001816" "R48.1" "R48.1" NA "B0"
