"level" "cause_name" "parent"
"1" 0 "Total (All Causes)" "None"
"2" 1 "Communicable, maternal, neonatal, and nutritional disorders" "Total (All Causes)"
"3" 2 "HIV/AIDS and tuberculosis" "Communicable, maternal, neonatal, and nutritional disorders"
"4" 3 "HIV/AIDS" "HIV/AIDS and tuberculosis"
"5" 3 "Tuberculosis" "HIV/AIDS and tuberculosis"
"6" 2 "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" "Communicable, maternal, neonatal, and nutritional disorders"
"7" 3 "Diarrheal diseases" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"8" 3 "Diphtheria" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"9" 3 "Encephalitis" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"10" 3 "Lower respiratory infections" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"11" 3 "Measles" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"12" 3 "Meningitis" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"13" 3 "Otitis media" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"14" 3 "Tetanus" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"15" 3 "Typhoid and paratyphoid fevers" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"16" 3 "Upper respiratory infections" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"17" 3 "Varicella" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"18" 3 "Whooping cough" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"19" 2 "Neglected tropical diseases and malaria" "Communicable, maternal, neonatal, and nutritional disorders"
"20" 3 "African trypanosomiasis" "Neglected tropical diseases and malaria"
"21" 3 "Chagas disease" "Neglected tropical diseases and malaria"
"22" 3 "Cysticercosis" "Neglected tropical diseases and malaria"
"23" 3 "Dengue" "Neglected tropical diseases and malaria"
"24" 3 "Echinococcosis" "Neglected tropical diseases and malaria"
"25" 3 "Food-borne trematodiases" "Neglected tropical diseases and malaria"
"26" 3 "Intestinal nematode infections" "Neglected tropical diseases and malaria"
"27" 4 "Ascariasis" "Intestinal nematode infections"
"28" 4 "Hookworm disease" "Intestinal nematode infections"
"29" 4 "Trichuriasis" "Intestinal nematode infections"
"30" 3 "Leishmaniasis" "Neglected tropical diseases and malaria"
"31" 3 "Lymphatic filariasis" "Neglected tropical diseases and malaria"
"32" 3 "Malaria" "Neglected tropical diseases and malaria"
"33" 3 "Onchocerciasis" "Neglected tropical diseases and malaria"
