"Tax_171" "Tax_disag"
"1" "Tuberculosis" "Tuberculosis"
"2" "HIV/AIDS" "HIV/AIDS"
"3" "Diarrheal diseases" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"4" "Typhoid and paratyphoid fevers" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"5" "Lower respiratory infections" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"6" "Upper respiratory infections" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"7" "Otitis media" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"8" "Meningitis" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"9" "Encephalitis" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"10" "Diphtheria" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"11" "Whooping cough" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"12" "Tetanus" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"13" "Measles" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"14" "Varicella" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases"
"15" "Malaria" "Malaria"
"16" "Chagas disease" "Neglected tropical diseases excluding malaria"
"17" "Leishmaniasis" "Neglected tropical diseases excluding malaria"
"18" "African trypanosomiasis" "Neglected tropical diseases excluding malaria"
"19" "Schistosomiasis" "Neglected tropical diseases excluding malaria"
"20" "Cysticercosis" "Neglected tropical diseases excluding malaria"
"21" "Echinococcosis" "Neglected tropical diseases excluding malaria"
"22" "Lymphatic filariasis" "Neglected tropical diseases excluding malaria"
"23" "Onchocerciasis" "Neglected tropical diseases excluding malaria"
"24" "Trachoma" "Neglected tropical diseases excluding malaria"
"25" "Dengue" "Neglected tropical diseases excluding malaria"
"26" "Yellow fever" "Neglected tropical diseases excluding malaria"
"27" "Rabies" "Neglected tropical diseases excluding malaria"
"28" "Ascariasis" "Neglected tropical diseases excluding malaria"
"29" "Trichuriasis" "Neglected tropical diseases excluding malaria"
"30" "Hookworm disease" "Neglected tropical diseases excluding malaria"
"31" "Food-borne trematodiases" "Neglected tropical diseases excluding malaria"
"32" "Maternal disorders" "Maternal disorders"
"33" "Preterm birth complications" "Neonatal disorders"
"34" "Neonatal encephalopathy (birth asphyxia and birth trauma)" "Neonatal disorders"
"35" "Sepsis and other infectious disorders of the newborn baby" "Neonatal disorders"
"36" "Protein-energy malnutrition" "Nutritional deficiencies"
"37" "Iodine deficiency" "Nutritional deficiencies"
"38" "Vitamin A deficiency" "Nutritional deficiencies"
"39" "Iron-deficiency anemia" "Nutritional deficiencies"
"40" "Syphilis" "Sexually transmitted diseases excluding HIV"
"41" "Sexually transmitted chlamydial diseases" "Sexually transmitted diseases excluding HIV"
"42" "Gonococcal infection" "Sexually transmitted diseases excluding HIV"
"43" "Trichomoniasis" "Sexually transmitted diseases excluding HIV"
"44" "Acute hepatitis A" "Hepatitis"
"45" "Acute hepatitis B" "Hepatitis"
"46" "Acute hepatitis C" "Hepatitis"
"47" "Acute hepatitis E" "Hepatitis"
"48" "Leprosy" "Leprosy"
"49" "Esophageal cancer" "Neoplasms"
"50" "Stomach cancer" "Neoplasms"
"51" "Liver cancer" "Neoplasms"
"52" "Larynx cancer" "Neoplasms"
"53" "Trachea, bronchus, and lung cancers" "Neoplasms"
"54" "Breast cancer" "Neoplasms"
"55" "Cervical cancer" "Neoplasms"
"56" "Uterine cancer" "Neoplasms"
"57" "Prostate cancer" "Neoplasms"
"58" "Colon and rectum cancers" "Neoplasms"
"59" "Mouth cancer" "Neoplasms"
"60" "Nasopharynx cancer" "Neoplasms"
"61" "Cancer of other part of pharynx and oropharynx" "Neoplasms"
"62" "Gallbladder and biliary tract cancer" "Neoplasms"
"63" "Pancreatic cancer" "Neoplasms"
"64" "Malignant melanoma of skin" "Neoplasms"
"65" "Non-melanoma skin cancer" "Neoplasms"
"66" "Ovarian cancer" "Neoplasms"
"67" "Testicular cancer" "Neoplasms"
"68" "Kidney and other urinary organ cancers" "Neoplasms"
"69" "Bladder cancer" "Neoplasms"
"70" "Brain and nervous system cancers" "Neoplasms"
"71" "Thyroid cancer" "Neoplasms"
"72" "Hodgkin's disease" "Neoplasms"
"73" "Non-Hodgkin lymphoma" "Neoplasms"
"74" "Multiple myeloma" "Neoplasms"
"75" "Leukemia" "Neoplasms"
"76" "Rheumatic heart disease" "Cardiovascular and circulatory diseases"
"77" "Ischemic heart disease" "Cardiovascular and circulatory diseases"
"78" "Cerebrovascular disease" "Cardiovascular and circulatory diseases"
"79" "Hypertensive heart disease" "Cardiovascular and circulatory diseases"
"80" "Cardiomyopathy and myocarditis" "Cardiovascular and circulatory diseases"
"81" "Atrial fibrillation and flutter" "Cardiovascular and circulatory diseases"
"82" "Aortic aneurysm" "Cardiovascular and circulatory diseases"
"83" "Peripheral vascular disease" "Cardiovascular and circulatory diseases"
"84" "Endocarditis" "Cardiovascular and circulatory diseases"
"85" "Chronic obstructive pulmonary disease" "Chronic respiratory diseases"
"86" "Pneumoconiosis" "Chronic respiratory diseases"
